cpa,prob_f0,prob_f1,prob_f2,prob_f3,prob_f4
17.4,4.4863167339614175e-4,0.0022431583669807087,0.01031852848811126,0.5455361148497084,0.4414535666218035
17.5,4.723665564478035e-4,0.0014170996693434106,0.005668398677373642,0.5111006140765234,0.48134152102031175
17.6,4.7551117451260106e-4,4.7551117451260106e-4,0.008083689966714217,0.5140275796481217,0.47693770803613883
17.7,9.358914365933552e-4,0.0014038371548900327,0.006551240056153486,0.5053813757604118,0.48572765559195136
17.8,9.615384615384616e-4,4.807692307692308e-4,0.009134615384615385,0.4846153846153846,0.5048076923076923
17.9,0,4.894762604013706e-4,0.00783162016642193,0.4977973568281938,0.49388154674498286
18,0,5.02008032128514e-4,0.004518072289156626,0.5090361445783133,0.4859437751004016
18.1,0,4.730368968779565e-4,0.004257332071901609,0.4810785241248817,0.5141911069063387
18.2,0,4.928536224741252e-4,0.006899950714637753,0.4879250862493839,0.5046821094135042
18.3,0,4.847309743092584e-4,0.0058167716917111,0.4629180804653417,0.5307804168686379
18.4,0,0,0.004081632653061225,0.4826530612244898,0.513265306122449
18.5,0,0,0.0045090180360721445,0.4634268537074148,0.5320641282565131
18.6,0,0.0010476689366160294,0.004714510214772132,0.465688842325825,0.5285489785227868
18.7,0.0010542962572482868,0,0.004744333157617291,0.45861887190300477,0.5355824986821297
18.8,0,0,0.002124269782262347,0.467870419543282,0.5300053106744557
18.9,5.279831045406547e-4,0,0.0031678986272439284,0.457233368532207,0.5390707497360084
19,0,5.564830272676684e-4,0.00333889816360601,0.44518642181413465,0.5509181969949917
19.1,0,5.685048322910744e-4,0.0022740193291642978,0.4434337691870381,0.5537237066515065
19.2,0,0.0011675423234092236,0.002335084646818447,0.4296555750145943,0.5668417980151781
19.3,0,0.001156737998843262,0.001735106998264893,0.42220936957779065,0.5748987854251012
19.4,0,0,0.0011534025374855825,0.43829296424452135,0.5605536332179931
19.5,0,0,6.071645415907711e-4,0.41044323011536127,0.588949605343048
19.6,6.218905472636816e-4,0,0.0012437810945273632,0.3843283582089552,0.6138059701492538
19.7,6.082725060827251e-4,0,0.0024330900243309003,0.38990267639902676,0.6070559610705596
19.8,0,6.489292667099286e-4,0.001946787800129786,0.41596365996106427,0.5814406229720961
19.9,0,0,0.00319693094629156,0.4194373401534527,0.5773657289002557
20,0,0,6.385696040868455e-4,0.37037037037037035,0.6289910600255428
20.1,6.925207756232687e-4,6.925207756232687e-4,6.925207756232687e-4,0.3718836565096953,0.6260387811634349
20.2,0,0.0014316392269148174,7.158196134574087e-4,0.376521116678597,0.6213314244810307
20.3,0,0,0.003538570417551309,0.36659589525831565,0.6298655343241331
20.4,0,7.032348804500703e-4,7.032348804500703e-4,0.35794655414908577,0.6406469760900141
20.5,0,0,0.002840909090909091,0.3757102272727273,0.6214488636363636
20.6,0.002365930599369085,0,7.886435331230284e-4,0.37618296529968454,0.6206624605678234
20.7,7.6103500761035e-4,0,0.0015220700152207,0.3508371385083714,0.6468797564687976
